Time,NodeID,TrafficLoad,PacketReceived,ResidualEnergy,DistanceToBS,EnergyDrainRate,PacketSuccessRate
0.1,2,1,,99.99,338.917,0.01,0
0.1,2,1,,99.99,338.917,0,0
0.1,3,1,,99.99,350.728,0.01,0
0.1,3,1,,99.99,350.728,0,0
0.1,4,1,,99.99,340.899,0.01,0
0.1,4,1,,99.99,340.899,0,0
0.1,5,1,,99.99,336.66,0.01,0
0.1,5,1,,99.99,336.66,0,0
0.1,7,1,,99.99,338.671,0.01,0
0.1,7,1,,99.99,338.671,0,0
0.1,8,1,,99.99,334.414,0.01,0
0.1,8,1,,99.99,334.414,0,0
0.1,15,1,,99.99,342.241,0.01,0
0.1,15,1,,99.99,342.241,0,0
0.1,17,1,,99.99,327.818,0.01,0
0.1,17,1,,99.99,327.818,0,0
0.108,2,2,,99.98,338.917,0.01,0
0.108,2,2,,99.98,338.917,0,0
0.108,3,2,,99.98,350.728,0.01,0
0.108,3,2,,99.98,350.728,0,0
0.108,4,2,,99.98,340.899,0.01,0
0.108,4,2,,99.98,340.899,0,0
0.108,5,2,,99.98,336.66,0.01,0
0.108,5,2,,99.98,336.66,0,0
0.108,7,2,,99.98,338.671,0.01,0
0.108,7,2,,99.98,338.671,0,0
0.108,8,2,,99.98,334.414,0.01,0
0.108,8,2,,99.98,334.414,0,0
0.108,15,2,,99.98,342.241,0.01,0
0.108,15,2,,99.98,342.241,0,0
0.108,17,2,,99.98,327.818,0.01,0
0.108,17,2,,99.98,327.818,0,0
0.114096,2,2,1,99.98,338.917,0,0.497512
0.114096,1,1,,99.99,338.917,0.01,0
0.114096,1,1,,99.99,338.917,0,0
0.114096,3,2,1,99.98,350.728,0,0.497512
0.114096,14,1,,99.99,350.728,0.01,0
0.114096,14,1,,99.99,350.728,0,0
0.114096,4,2,1,99.98,340.899,0,0.497512
0.114096,5,2,1,99.98,336.66,0,0.497512
0.114096,14,2,,99.98,336.66,0.01,0
0.114096,7,2,1,99.98,338.671,0,0.497512
0.114096,8,2,1,99.98,334.414,0,0.497512
0.114096,14,3,,99.97,334.414,0.01,0
0.114096,15,2,1,99.98,342.241,0,0.497512
0.114096,14,4,,99.96,342.241,0.01,0
