Time,NodeID,TrafficLoad,PacketReceived,ResidualEnergy,DistanceToBS,EnergyDrainRate,PacketSuccessRate
0.1,0,1,,99.99,346.482,0.01,0
0.1,0,1,,99.99,346.482,0,0
0.1,2,1,,99.99,344.42,0.01,0
0.1,2,1,,99.99,344.42,0,0
0.1,3,1,,99.99,344.327,0.01,0
0.1,3,1,,99.99,344.327,0,0
0.1,6,1,,99.99,342.111,0.01,0
0.1,6,1,,99.99,342.111,0,0
0.1,12,1,,99.99,337.787,0.01,0
0.1,12,1,,99.99,337.787,0,0
0.1,16,1,,99.99,337.281,0.01,0
0.1,16,1,,99.99,337.281,0,0
0.1,19,1,,99.99,335.204,0.01,0
0.1,19,1,,99.99,335.204,0,0
0.108,0,2,,99.98,346.482,0.01,0
0.108,0,2,,99.98,346.482,0,0
0.108,2,2,,99.98,344.42,0.01,0
0.108,2,2,,99.98,344.42,0,0
0.108,3,2,,99.98,344.327,0.01,0
0.108,3,2,,99.98,344.327,0,0
0.108,6,2,,99.98,342.111,0.01,0
0.108,6,2,,99.98,342.111,0,0
0.108,12,2,,99.98,337.787,0.01,0
0.108,12,2,,99.98,337.787,0,0
0.108,16,2,,99.98,337.281,0.01,0
0.108,16,2,,99.98,337.281,0,0
0.108,19,2,,99.98,335.204,0.01,0
0.108,19,2,,99.98,335.204,0,0
0.114096,0,2,1,99.98,346.482,0,0.497512
0.114096,11,1,,99.99,346.482,0.01,0
0.114096,11,1,,99.99,346.482,0,0
0.114096,2,2,1,99.98,344.42,0,0.497512
0.114096,7,1,,99.99,344.42,0.01,0
0.114096,7,1,,99.99,344.42,0,0
0.114096,3,2,1,99.98,344.327,0,0.497512
0.114096,6,2,1,99.98,342.111,0,0.497512
0.114096,11,2,,99.98,342.111,0.01,0
0.114096,12,2,1,99.98,337.787,0,0.497512
0.114096,7,2,,99.98,337.787,0.01,0
0.114096,16,2,1,99.98,337.281,0,0.497512
0.114096,11,3,,99.97,337.281,0.01,0
0.114096,19,2,1,99.98,335.204,0,0.497512
0.114096,10,1,,99.99,335.204,0.01,0
0.114096,10,1,,99.99,335.204,0,0
0.116,0,3,1,99.97,346.482,0.01,0.332226
0.116,0,3,1,99.97,346.482,0,0.332226
0.116,2,3,1,99.97,344.42,0.01,0.332226
0.116,2,3,1,99.97,344.42,0,0.332226
0.116,3,3,1,99.97,344.327,0.01,0.332226
0.116,3,3,1,99.97,344.327,0,0.332226
0.116,6,3,1,99.97,342.111,0.01,0.332226
0.116,6,3,1,99.97,342.111,0,0.332226
0.116,12,3,1,99.97,337.787,0.01,0.332226
0.116,12,3,1,99.97,337.787,0,0.332226
0.116,16,3,1,99.97,337.281,0.01,0.332226
0.116,16,3,1,99.97,337.281,0,0.332226
0.116,19,3,1,99.97,335.204,0.01,0.332226
0.116,19,3,1,99.97,335.204,0,0.332226
0.116144,11,3,,99.97,342.111,0,0
0.116144,7,2,,99.98,337.787,0,0
0.118192,11,3,,99.97,337.281,0,0
0.121144,11,3,1,99.97,346.482,0,0.332226
0.121144,20,1,,99.99,346.482,0.01,0
0.121144,20,1,,99.99,346.482,0,0
0.121144,7,2,1,99.98,344.42,0,0.497512
0.121144,20,2,,99.98,344.42,0.01,0
0.121144,20,2,,99.98,344.42,0,0
0.121144,10,1,1,99.99,335.204,0,0.990099
0.121144,20,3,,99.97,335.204,0.01,0
0.121144,20,3,,99.97,335.204,0,0
0.122096,0,3,2,99.97,346.482,0,0.664452
0.122096,11,4,1,99.96,346.482,0.01,0.249377
0.122096,11,4,1,99.96,346.482,0,0.249377
0.122096,2,3,2,99.97,344.42,0,0.664452
0.122096,7,3,1,99.97,344.42,0.01,0.332226
0.122096,7,3,1,99.97,344.42,0,0.332226
0.122096,3,3,2,99.97,344.327,0,0.664452
0.122096,6,3,2,99.97,342.111,0,0.664452
0.122096,11,5,1,99.95,342.111,0.01,0.199601
0.122096,12,3,2,99.97,337.787,0,0.664452
0.122096,7,4,1,99.96,337.787,0.01,0.249377
0.122096,16,3,2,99.97,337.281,0,0.664452
0.122096,11,6,1,99.94,337.281,0.01,0.166389
0.122096,19,3,2,99.97,335.204,0,0.664452
0.122096,10,2,1,99.98,335.204,0.01,0.497512
0.122096,10,2,1,99.98,335.204,0,0.497512
0.123192,11,6,2,99.94,342.111,0,0.332779
0.123192,20,4,,99.96,342.111,0.01,0
0.123192,7,4,2,99.96,337.787,0,0.498753
0.123192,20,5,,99.95,337.787,0.01,0
0.123192,20,5,,99.95,342.111,0,0
0.124,0,4,2,99.96,346.482,0.01,0.498753
0.124,0,4,2,99.96,346.482,0,0.498753
0.124,2,4,2,99.96,344.42,0.01,0.498753
0.124,2,4,2,99.96,344.42,0,0.498753
0.124,3,4,2,99.96,344.327,0.01,0.498753
0.124,3,4,2,99.96,344.327,0,0.498753
0.124,6,4,2,99.96,342.111,0.01,0.498753
0.124,6,4,2,99.96,342.111,0,0.498753
0.124,12,4,2,99.96,337.787,0.01,0.498753
0.124,12,4,2,99.96,337.787,0,0.498753
0.124,16,4,2,99.96,337.281,0.01,0.498753
0.124,16,4,2,99.96,337.281,0,0.498753
0.124,19,4,2,99.96,335.204,0.01,0.498753
0.124,19,4,2,99.96,335.204,0,0.498753
0.124144,11,6,2,99.94,342.111,0,0.332779
0.124144,7,4,2,99.96,337.787,0,0.498753
0.12524,11,6,3,99.94,337.281,0,0.499168
0.12524,20,6,,99.94,337.281,0.01,0
0.12524,20,6,,99.94,337.281,0,0
0.12524,20,6,,99.94,337.787,0,0
0.126192,11,6,3,99.94,337.281,0,0.499168
0.128192,20,6,1,99.94,346.482,0,0.166389
0.128192,20,6,2,99.94,344.42,0,0.332779
0.128192,20,6,3,99.94,335.204,0,0.499168
0.129144,11,6,4,99.94,346.482,0,0.665557
0.129144,20,7,3,99.93,346.482,0.01,0.42796
0.129144,20,7,3,99.93,346.482,0,0.42796
0.129144,7,4,3,99.96,344.42,0,0.74813
0.129144,20,8,3,99.92,344.42,0.01,0.374532
0.129144,20,8,3,99.92,344.42,0,0.374532
0.129144,10,2,2,99.98,335.204,0,0.995025
0.129144,20,9,3,99.91,335.204,0.01,0.332963
0.129144,20,9,3,99.91,335.204,0,0.332963
0.130096,0,4,3,99.96,346.482,0,0.74813
0.130096,11,7,4,99.93,346.482,0.01,0.570613
0.130096,11,7,4,99.93,346.482,0,0.570613
0.130096,2,4,3,99.96,344.42,0,0.74813
0.130096,7,5,3,99.95,344.42,0.01,0.598802
0.130096,7,5,3,99.95,344.42,0,0.598802
0.130096,3,4,3,99.96,344.327,0,0.74813
0.130096,6,4,3,99.96,342.111,0,0.74813
0.130096,11,8,4,99.92,342.111,0.01,0.499376
