Time,NodeID,TrafficLoad,PacketReceived,ResidualEnergy,DistanceToBS
0.1,2,1,0,99.99,349.314
0.1,2,1,0,99.99,349.314
0.1,6,1,0,99.99,348.622
0.1,6,1,0,99.99,348.622
0.1,7,1,0,99.99,345.071
0.1,7,1,0,99.99,345.071
0.1,9,1,0,99.99,346.457
0.1,9,1,0,99.99,346.457
0.1,11,1,0,99.99,342.911
0.1,11,1,0,99.99,342.911
0.1,12,1,0,99.99,344.304
0.1,12,1,0,99.99,344.304
0.1,14,1,0,99.99,340.685
0.1,14,1,0,99.99,340.685
0.1,16,1,0,99.99,338.721
0.1,16,1,0,99.99,338.721
0.1,17,1,0,99.99,338.542
0.1,17,1,0,99.99,338.542
0.1,19,1,0,99.99,336.583
0.1,19,1,0,99.99,336.583
0.108,2,2,0,99.98,349.314
0.108,2,2,0,99.98,349.314
0.108,6,2,0,99.98,348.622
0.108,6,2,0,99.98,348.622
0.108,7,2,0,99.98,345.071
0.108,7,2,0,99.98,345.071
0.108,9,2,0,99.98,346.457
0.108,9,2,0,99.98,346.457
0.108,11,2,0,99.98,342.911
0.108,11,2,0,99.98,342.911
0.108,12,2,0,99.98,344.304
0.108,12,2,0,99.98,344.304
0.108,14,2,0,99.98,340.685
0.108,14,2,0,99.98,340.685
0.108,16,2,0,99.98,338.721
0.108,16,2,0,99.98,338.721
0.108,17,2,0,99.98,338.542
0.108,17,2,0,99.98,338.542
0.108,19,2,0,99.98,336.583
0.108,19,2,0,99.98,336.583
0.114096,2,2,1,99.98,349.314
0.114096,6,2,1,99.98,348.622
0.114096,4,1,0,99.99,348.622
0.114096,4,1,0,99.99,348.622
0.114096,7,2,1,99.98,345.071
0.114096,1,1,0,99.99,345.071
0.114096,1,1,0,99.99,345.071
0.114096,9,2,1,99.98,346.457
0.114096,11,2,1,99.98,342.911
0.114096,1,2,0,99.98,342.911
0.114096,12,2,1,99.98,344.304
0.114096,5,1,0,99.99,344.304
0.114096,5,1,0,99.99,344.304
0.114096,14,2,1,99.98,340.685
0.114096,5,2,0,99.98,340.685
0.114096,16,2,1,99.98,338.721
0.114096,1,3,0,99.97,338.721
0.114096,17,2,1,99.98,338.542
0.114096,1,4,0,99.96,338.542
0.114096,19,2,1,99.98,336.583
0.114096,4,2,0,99.98,336.583
0.116,2,3,1,99.97,349.314
0.116,2,3,1,99.97,349.314
0.116,6,3,1,99.97,348.622
0.116,6,3,1,99.97,348.622
0.116,7,3,1,99.97,345.071
0.116,7,3,1,99.97,345.071
0.116,9,3,1,99.97,346.457
0.116,9,3,1,99.97,346.457
0.116,11,3,1,99.97,342.911
0.116,11,3,1,99.97,342.911
0.116,12,3,1,99.97,344.304
0.116,12,3,1,99.97,344.304
0.116,14,3,1,99.97,340.685
0.116,14,3,1,99.97,340.685
0.116,16,3,1,99.97,338.721
0.116,16,3,1,99.97,338.721
0.116,17,3,1,99.97,338.542
0.116,17,3,1,99.97,338.542
0.116,19,3,1,99.97,336.583
0.116,19,3,1,99.97,336.583
0.116144,4,2,0,99.98,336.583
0.116144,1,4,0,99.96,342.911
0.116144,5,2,0,99.98,340.685
0.118192,1,4,0,99.96,338.721
0.12024,1,4,0,99.96,338.542
0.121144,4,2,1,99.98,348.622
0.121144,20,1,0,99.99,348.622
0.121144,20,1,0,99.99,348.622
0.121144,1,4,1,99.96,345.071
0.121144,20,2,0,99.98,345.071
0.121144,20,2,0,99.98,345.071
0.121144,5,2,1,99.98,344.304
0.121144,20,3,0,99.97,344.304
0.122096,2,3,2,99.97,349.314
0.122096,6,3,2,99.97,348.622
0.122096,4,3,1,99.97,348.622
0.122096,4,3,1,99.97,348.622
0.122096,7,3,2,99.97,345.071
0.122096,1,5,1,99.95,345.071
0.122096,9,3,2,99.97,346.457
0.122096,11,3,2,99.97,342.911
0.122096,1,6,1,99.94,342.911
0.122096,12,3,2,99.97,344.304
0.122096,5,3,1,99.97,344.304
0.122096,5,3,1,99.97,344.304
0.122096,14,3,2,99.97,340.685
0.122096,5,4,1,99.96,340.685
0.122096,16,3,2,99.97,338.721
0.122096,1,7,1,99.93,338.721
0.122096,17,3,2,99.97,338.542
0.122096,1,8,1,99.92,338.542
0.122096,19,3,2,99.97,336.583
0.122096,4,4,1,99.96,336.583
0.122288,1,8,1,99.92,345.071
0.123192,4,4,2,99.96,336.583
0.123192,20,4,0,99.96,336.583
0.123192,1,8,2,99.92,342.911
0.123192,20,5,0,99.95,342.911
0.123192,20,5,0,99.95,342.911
0.123192,5,4,2,99.96,340.685
0.123192,20,6,0,99.94,340.685
0.123192,20,6,0,99.94,344.304
0.123192,20,6,0,99.94,336.583
0.124,2,4,2,99.96,349.314
0.124,2,4,2,99.96,349.314
0.124,6,4,2,99.96,348.622
0.124,6,4,2,99.96,348.622
0.124,7,4,2,99.96,345.071
0.124,7,4,2,99.96,345.071
0.124,9,4,2,99.96,346.457
0.124,9,4,2,99.96,346.457
0.124,11,4,2,99.96,342.911
0.124,11,4,2,99.96,342.911
0.124,12,4,2,99.96,344.304
0.124,12,4,2,99.96,344.304
0.124,14,4,2,99.96,340.685
0.124,14,4,2,99.96,340.685
0.124,16,4,2,99.96,338.721
0.124,16,4,2,99.96,338.721
0.124,17,4,2,99.96,338.542
0.124,17,4,2,99.96,338.542
0.124,19,4,2,99.96,336.583
0.124,19,4,2,99.96,336.583
0.124144,4,4,2,99.96,336.583
0.124144,5,4,2,99.96,340.685
0.124336,1,8,2,99.92,342.911
0.12524,1,8,3,99.92,338.721
0.12524,20,7,0,99.93,338.721
0.12524,20,7,0,99.93,340.685
0.12524,20,7,0,99.93,338.721
0.126384,1,8,3,99.92,338.721
0.127288,1,8,4,99.92,338.542
0.127288,20,8,0,99.92,338.542
0.127288,20,8,0,99.92,338.542
0.128192,20,8,1,99.92,348.622
0.128192,20,8,2,99.92,345.071
0.128432,1,8,4,99.92,338.542
0.129144,4,4,3,99.96,348.622
0.129144,20,9,2,99.91,348.622
0.129144,20,9,2,99.91,348.622
0.129144,5,4,3,99.96,344.304
0.129144,20,10,2,99.9,344.304
0.129336,1,8,5,99.92,345.071
0.129336,20,11,2,99.89,345.071
0.129336,20,11,2,99.89,345.071
0.130096,2,4,3,99.96,349.314
0.130096,6,4,3,99.96,348.622
0.130096,4,5,3,99.95,348.622
0.130096,4,5,3,99.95,348.622
0.130096,7,4,3,99.96,345.071
0.130096,1,9,5,99.91,345.071
0.130096,9,4,3,99.96,346.457
0.130096,11,4,3,99.96,342.911
0.130096,1,10,5,99.9,342.911
0.130096,12,4,3,99.96,344.304
0.130096,5,5,3,99.95,344.304
0.130096,5,5,3,99.95,344.304
0.130096,14,4,3,99.96,340.685
0.130096,5,6,3,99.94,340.685
0.130096,16,4,3,99.96,338.721
0.130096,1,11,5,99.89,338.721
0.130096,17,4,3,99.96,338.542
0.130096,1,12,5,99.88,338.542
0.130096,19,4,3,99.96,336.583
0.130096,4,6,3,99.94,336.583
0.13024,20,11,3,99.89,342.911
0.13024,20,11,4,99.89,344.304
0.13024,20,11,5,99.89,336.583
0.13048,1,12,5,99.88,345.071
0.131192,4,6,4,99.94,336.583
0.131192,20,12,5,99.88,336.583
0.131192,5,6,4,99.94,340.685
0.131192,20,13,5,99.87,340.685
0.131192,20,13,5,99.87,340.685
0.131192,20,13,5,99.87,344.304
0.131384,1,12,6,99.88,342.911
0.131384,20,14,5,99.86,342.911
0.131384,20,14,5,99.86,336.583
0.132,2,5,3,99.95,349.314
0.132,2,5,3,99.95,349.314
0.132,6,5,3,99.95,348.622
0.132,6,5,3,99.95,348.622
0.132,7,5,3,99.95,345.071
0.132,7,5,3,99.95,345.071
0.132,9,5,3,99.95,346.457
0.132,9,5,3,99.95,346.457
0.132,11,5,3,99.95,342.911
0.132,11,5,3,99.95,342.911
0.132,12,5,3,99.95,344.304
0.132,12,5,3,99.95,344.304
0.132,14,5,3,99.95,340.685
0.132,14,5,3,99.95,340.685
0.132,16,5,3,99.95,338.721
0.132,16,5,3,99.95,338.721
0.132,17,5,3,99.95,338.542
0.132,17,5,3,99.95,338.542
0.132,19,5,3,99.95,336.583
0.132,19,5,3,99.95,336.583
0.132144,4,6,4,99.94,336.583
0.132144,5,6,4,99.94,340.685
0.132288,20,14,6,99.86,340.685
0.132288,20,14,7,99.86,338.721
0.132528,1,12,6,99.88,342.911
0.13324,20,14,7,99.86,342.911
0.133432,1,12,7,99.88,338.721
0.133432,20,15,7,99.85,338.721
0.133432,20,15,7,99.85,338.721
0.134336,20,15,8,99.85,338.542
0.134576,1,12,7,99.88,338.721
0.13548,1,12,8,99.88,338.542
0.13548,20,16,8,99.84,338.542
0.13548,20,16,8,99.84,338.542
